"","ItemIndex","Sum of Similarities","weightTM","weightUT","weightDupSes"
"1",664,0.326944468145075,0.5,0.028169014084507,0.471830985915493
"2",973,0.00256082565378153,0.133928571428571,0.383928571428571,0.482142857142857
"3",652,0.0374753100773898,0.185430463576159,0.397350993377483,0.417218543046358
"4",942,0.165129740564183,0.5,0.028169014084507,0.471830985915493
"5",648,0.803871773093183,0.219178082191781,0.753424657534247,0.0273972602739726
"6",422,0.45155757662321,0.5,0.028169014084507,0.471830985915493
"7",230,0.476096913055712,0.5,0.028169014084507,0.471830985915493
"8",384,0.0543999657629372,0.133928571428571,0.383928571428571,0.482142857142857
"9",292,0.957333333333333,0.5,0.028169014084507,0.471830985915493
"10",382,0.928290430474322,0.0289855072463768,0.0579710144927536,0.91304347826087
"11",112,0.0975890063097301,0.5,0.028169014084507,0.471830985915493
"12",564,0.0381679389312977,0.133928571428571,0.383928571428571,0.482142857142857
"13",444,0.98,0.0119047619047619,0.583333333333333,0.404761904761905
"14",251,0.190547256162074,0.5,0.028169014084507,0.471830985915493
"15",187,0.0596626376645593,0.468421052631579,0.515789473684211,0.0157894736842105
"16",108,0.0467289719626168,0.0289855072463768,0.0579710144927536,0.91304347826087
"17",994,0.216045372577944,0.5,0.028169014084507,0.471830985915493
"18",104,0.0340136054421769,0.154639175257732,0.309278350515464,0.536082474226804
"19",501,0.132253550611145,0.5,0.028169014084507,0.471830985915493
"20",941,0.314523759503663,0.5,0.028169014084507,0.471830985915493
"21",110,0.832340941375505,0.823529411764706,0.0588235294117647,0.117647058823529
"22",695,0.066912603920763,0.119718309859155,0.373239436619718,0.507042253521127
"23",834,0.156371794140259,0.5,0.028169014084507,0.471830985915493
"24",489,0.367005952648776,0.0119047619047619,0.583333333333333,0.404761904761905
